"Дата заявки";"п/н ";"Адрес";"Округ";"Наименование";"Доп. информация";"Телефон клиента или менеджер";"Статус заявки";"Что сделано, отчет техника/инженера по месту";"Комментарий инженера";"Latitude";"Longitude"
"14.05.2024";"133116";"Братеевская д.10к1";"Алма Атинская";"Мос гор ломбард";"заменить АКБ";"-";"не назначено";"-";"-";"55.6326907";"37.76067219999999"
"15.05.2024";"39028";"бульвар Строгинский 14 корп 4";"строгино";"Аптека Планета Здоровья ООО Парацельс";"тампер 5 зоны";"-";"не назначено";"-";"-";"55.8027277";"37.4080372"
"15.05.2024";"39083";"МО Ленинский район дер Ямонтово ул Солнечная 4";"Развилка";"Коттедж ИП Солгалов М Н ЧОП Синяя Птица";"проверить работосаосбность";"Даниелян";"не назначено";"Солгалов Михайл Николаевич +79030173235 +7 903 017-32-35,  8916-553-72-60 Елена — помощница";"-";"55.533524";"37.64365120000001"
"15.05.2024";"91930";"Измайловский бульвар 38";"Первомайская";"Пекарня Хлебница Москва Центр ИП Петрова Е А";"тревоги по 19 зоне";"-";"не назначено";"Ибрагимова Диана Курдулаевна +79684224429";"-";"55.79649860000001";"37.8017466"
"15.05.2024";"133124";" Подольск г, Кузнечики п, Флотский пр-д, дом 3 ";"Подольск";"ИП Карпенок Л.М./Магазин Продуктов";"заменить АКБ";"-";"назначено";"-";"-";"55.41664129999999";"37.4754835"
"15.05.2024";"134630";"Красногорск г, Видная ул, дом 6";"Красногорск";" Пекарня Буханк";"НКС";"-";"не назначено";"-";"-";"55.8410492";"37.3472369"
"15.05.2024";"137183";"Н Масловка 5 корп 2";"Савеловская";"Кондитерский цех ИП Симонова А Д";"зааменить АБ 24,25 зон";"-";"не назначено";"Симонова Алиса Дмитриевна +79160925086";"-";"55.790831";"37.5819921"
"15.05.2024";"310302";"Одинцово ул Маршала Крылова 23";"Одинцово";"Библиотека № 3 МБУК ""ОГБИЦ""";"ктс не работает одна кнопка";"-";"не назначено";"Зуева Елена Алексеевна +7(906)-035-44-54";"-";"55.68773969999999";"37.2999605"
"16.05.2024";"22097";"Волоколамское шоссе 71 корпус 4 ";"Спартак";"Винотека Вайн энд виски ООО Вайн энд вайн";" неисправность шл 7";"-";"не назначено";"-";"-";"55.8366619";"37.2894091"
"16.05.2024";"39056";"Маршала Савицкого 20 к 1";"Щербинка";"Стоматология Дантистъ Грандъ плюс ООО Дантистъ Грандъ плюс";"тревоги по 11 зоне";"-";"не назначено";"Булгару Алексей Васильевич +79629339590";"-";"55.503789";"37.58972199999999"
"16.05.2024";"81161";"Госпитальный вал, д.3-91";"ПЛ.Ильича";"Квартира";"проверить АБ 2, 3 зон";"-";"не назначено";"Лисицкая Ольга Вячеславовна 7(916)172-36-31";"-";"55.7708458";"37.7039519"
"16.05.2024";"90565";"МКАД 41 й км ТОГК Славянский мир помещение В 7/6";"МКАД";" Красок Дом маляра ООО Склад Красок";"заменить АКБ";"Даниелян 13.06.24";"не назначено";"-";"-";"55.644667";"37.8213621"
"16.05.2024";"90886";"ш Боровское 56 детское отделение";"Новопеределкино";"Медклиника ООО МедиАрт";"потери по 22 зоне";"-";"не назначено";"Куликов Кирилл Георгиевич +79250037321";"-";"55.6348682";"37.345724"
"16.05.2024";"131666";"Балашиха г, Первомайская ул, дом № 14";"Балашиха";"Аптека Планета Здоровья";"заменить АКБ";"-";"не назначено";"-";"-";"55.8048049";"38.0178893"
"16.05.2024";"136643";"Хорошевское шоссе 34";"Беговая";"Кафе КосимксКафе Устинов Т А";"тревога тампера 17 зоны";"-";"не назначено";"Устинов Тимур Алексеевич +79197771134";"-";"55.77513399999999";"37.539345"
"16.05.2024";"137029";"Мясницкая 13 стр 2";"Лубянка";"Бар Ривер Овер ООО Ривер 1М";"заменить сим";"-";"не назначено";"Тропников Владислав Евгеньевич +79165588810";"-";"55.7622758";"37.6338097"
"16.05.2024";"-";"Шатура проспект Ильича 59 ";"Шатура";"Все инструменты";"сработала ПС";" ";"не назначено";"-";"-";"55.575888";"39.516601"
"17.05.2024";"46790";"Пятницкое шоссе 8";"Волоколамская";"Алкогольный магазин Красное белое ООО Альфа М";"заменить АКБ";"-";"не назначено";"-";"-";"55.9372372";"37.1767729"
"17.05.2024";"90876";"рабочий посёлок Октябрьский, улица Ленина, 55А";"Люберцы";"Хостел Подкова ООО Ковчег Холл";"НКС";"-";"не назначено";"-";"-";"55.61119";"37.9754198"
"17.05.2024";"130483";" Б. Черкизовская, дом 5А";"Преображенка";"ООО «ЛОМБАРД НАДЕЖНЫЙ»";"тревоги по 13 зоне";"-";"не назначено";"-";"-";"55.797254";"37.7187141"
"17.05.2024";"130834";"23км МКАД ввл.3 к.2";"МКАД";"Интим Магазин Эро Вита ИП Лагутин Н.Н.";"заменить АКБ";"-";"не назначено";"-";"-";"55.6909315";"37.4130217"
"17.05.2024";"133679";"Балашиха, мкр.Железнодорожный ул. Поликахина 1";"Балашиха";"Аптека Планета Здоровья ООО Дион";"заменить АКБ";"-";"не назначено";"-";"-";"55.73991520000001";"38.0008004"
"17.05.2024";"137064";"Ивантеевская д.13 к.1";"Б.Рокосовского";"СДЭК ИП Бачурин А.В.";"отказы связи";"-";"не назначено";"-";"-";"55.82279";"37.7144518"
"20.05.2024";"132769";"п.Внуковское Анны Ахматовой 20";"Внуково";"-";"НКС";"-";"не назначено";"-";"-";"55.60109869999999";"37.2664556"
"20.05.2024";"133121";"Боровское ш 2 к.4";"Одинцово";"Магазин Алкотка ООО Горизонт М";"заменить АКБ";"-";"не назначено";"-";"-";"55.6618402";"37.4213623"
"20.05.2024";"133317";"г Пушкино ул Вокзальная 1с4";"Пушкино";"Мос табак";"заменить АКБ";"-";"не назначено";"-";"-";"55.965278";"37.9058909"
"20.05.2024";"133570";"г.Видное, Радужная д.2";"Видное";"Пеарня Хлебница ИП Пиражкова Ю.С.";"заменить АКБ";"-";"не назначено";"-";"-";"55.5514908";"37.7064443"
"20.05.2024";"134323";"рп. Лопатино Сухановская д.1 стр.1";"-";"Ломбард ООО Ломбард  Рубин";"заменить АКБ";"-";"не назначено";"-";"-";"55.5360235";"37.6388956"
"20.05.2024";"134805";"32 км Автодорога М4 Дон стр 1";"М4 Дон";"Производственное помещение";"заменить АКБ";"-";"не назначено";"-";"-";"55.2872375";"37.8558631"
"20.05.2024";"134864";"Ботаническая, д. 33В, с. 1, пом. 6";"Окружная";"Стоматология";"тревоги по 21 зоне";"-";"не назначено";"-";"-";"55.8402029";"37.5825886"
"20.05.2024";"136821";"г.Шилово, Рязаанская д.138";"-";"Магазин Доброцен ООО ПВ Центр";"нет готовности";"-";"не назначено";"89106211231";"-";"54.3072926";"40.8692468"
"20.05.2024";"136886";"Сиреневый бульвар,д 1 к 5";"Черкизовская";"Кладовка Складно ИП Львов Е А";"НКС";"-";"не назначено";"-";"-";"55.8030529";"37.7651241"
"21.05.2024";"7996";"Ленинский район, сельское поселение Булатниковское, д. Суханово, д. 31 В";"Видное";"Коттедж";"тревоги по 29 зоне";"-";"не назначено";"-";"-";"55.520624";"37.65736589999999"
"21.05.2024";"90567";"Новоясеневский проспект 2 Б";"Ясенево";"Пункт выдачи Все Инструменты ООО ВсеИнструменты ру";"заменить АКБ";"Соколов 23.05.24";"не назначено";"Климов Илья Николаевич +79324303471";"-";"55.6177233";"37.5058437"
"21.05.2024";"91627";"г Яхрома пл Генерала Кузнецова 3 пом 1";"Дмитров";"Аптека Планета Здоровье ООО Парацельс";"сработала ПС";"-";"не назначено";"Шемендюк Екатерина Игоревна +79268715186";"-";"56.289749";"37.484267"
"21.05.2024";"91998";"г Егорьевск Касимовское шоссе 1 А";"Егорьевск";"Магазин Все Инструменты ООО ВсеИнструменты ру";"заменить АБ 17 зоны";"-";"не назначено";" Фролов Александр Павлович +79161583993";"-";"55.36772029999999";"39.0718421"
"21.05.2024";"136031";"Москва ул Первомайская 74 строение 3";"Первомайская";"Мини Маркет ИП Кайа С";"НКС";"-";"не назначено";"Кайа Серкан +79257275000";"-";"55.793024";"37.799787"
"21.05.2024";"136106";"МО Орехово Зуевский район г Куровское ул Пролетарка 21";"Орехово Зуево";"Кафе Грин кафе ИП Карапетян Р Э";"тревога тапера 18 зоны";"-";"не назначено";"Карапетян Рудик Эдвардович +79150050539";"-";"55.5775688";"38.8906096"
"21.05.2024";"191252";"Рублевское Шоссе 89 кв 249 эт 5";"Молодежная";"Квартира Коваль Л.М.";"НКС";"-";"не назначено";"Коваль Владимир Анатольевич 8-(916)-176-65-48";"-";"55.7398464";"37.4291634"
"21.05.2024";"194117";"МО р п Ржавки с 20 2 й мкр ТРЦ Зеленопарк этаж 1";"Зеленоград";"Магазин Фамилия ООО Максима Групп";"НКС";"-";"не назначено";"Стрельчук Андрей +79627127230";"-";"55.9986583";"37.2576759"
"22.05.2024";"1137";" Таганская 29";"Таганка";"Салон красоты Монэ ИП Сидоренко Е С";"тампер 3 зоны";"-";"не назначено";"-";"-";"55.7399136";"37.6676617"
"22.05.2024";"1704";"коттеджный посёлок Светлогорье, 10/17";"Звенигород";"Коттедж Гончарова Н В";"акб,неисправность датч";"-";"не назначено";"Гончаров Дмитрий Вадимович +79031306009";"-";"55.857245";"36.821458"
"22.05.2024";"90036";" Ореховый бульвар 22 (ТЦ Облака от входа влево до эскалатора)";"Домодедовская";"Ломбард ООО Ломбард Зарница Плюс";"заменить  АКБ";"-";"не назначено";"Тверскова Екатерина +79168882680";"-";"55.6126335";"37.7361715"
"22.05.2024";"135135";"МО г Орехово Зуево ул Володарского 12";"Орехово Зуево";"Пункт выдачи Всеинструменты ООО ВсеИнструменты ру";"тревоги по 19 зоне";"-";"не назначено";"-";"-";"55.8078634";"38.9687458"
"22.05.2024";"136345";"Чертановская 59 А строение 2";"Чертановская";"Спортивный комплекс Чертановский ГБУ ДО МКСШОР Юг";"брелок ктс не проходит";"-";"не назначено";"79045926166";"-";"55.6002041";"37.5903234"
"22.05.2024";"137038";"Измайловское шлоосе 71 стр 10";"Партизанская";"Магазин ФорСалон ИП Измаилов Р Э";"долбит тампер и проверить АКБ прибора";"-";"не назначено";"Измаилов Руслан Энверович +79263742645";"-";"55.7895736";"37.7483484"
"22.05.2024";"310135";"коттеджный посёлок Рузские Просторы, Земляничная улица, 26";"Руза";"Коттедж Гутковский И.Н. ""Рузские Просторы""";"заменить  АКБ,тампер";"-";"не назначено";"-";"-";"55.696152";"36.2098078"
"23.05.2024";"1304";"Смоленская наб д.2";"Смоленская";"Свадебный салон ИП Долгова Л В ЧОП Синяя птица";"тревоги по 1 зоне";"-";"не назначено";" Долгова Лидия Васильевна +79163862109";"-";"55.7469152";"37.5767775"
"23.05.2024";"132921";"село Новосёлки, вл19с5";"-";"Склад ООО ПЭК";"НКС";"-";"не назначено";"-";"-";"55.13443789999999";"37.547721"
"23.05.2024";"136308";"МО Ленинский район п Битца ЖК Южная Битца ул Парковая 2";"Битца";"Магазин Цветы подарки ИП Гасымова М И К";"НКС";"-";"не назначено";"-";"-";"55.555616";"37.597252"
"23.05.2024";"137451";"г.Коломна, Окская 3А";"Коломна";"ПВЗ Озон ИП Каленова Е.С.";"тревоги по 6 зоне";"-";"не назначено";"-";"-";"54.9916242";"38.7510003"
"24.05.2024";"81399";" ЖК ""Суханово Парк"" , д.47";"Одинцово";"Коттедж Лесиной Елены Валерьевны";"заменить АБ 10 зоны";"-";"не назначено";"-";"-";"55.5303744";"37.667672"
"24.05.2024";"83453";"Новинский бр д.8 в ТЦ Арбат Лотте Плаза";"Арбат";"ЗАО УРИ Банк";"тревоги по 6 зоне";"Трубин 23.05.24";"не назначено";"-";"-";"55.7512181";"37.5846061"
"24.05.2024";"132538";"Бескудниковский бульвар 40 кор.2";"Яхромская";"Ассортида";"тревоги тампера 17 зоны";"-";"не назначено";"-";"-";"55.8740643";"37.5502626"
"24.05.2024";"132655";"6-я Радиальная д. 7 стр. 43.";"Царицыно";"АВОСЬКА";"долбит тревога по 2 зоне/востановить";" ";"не назначено";"79169063260";"-";"55.6040593";"37.6807243"
"24.05.2024";"135221";"Дмитриевского, дом 3";"Дмитриевского";"Склад ООО ""ОФ ВАЙТ""";"тревога тампера";"-";"не назначено";"-";"-";"55.7100317";"37.8829614"
"24.05.2024";"137876";"шоссе Ленинградское 9 корпус 1";"Войковская ";"Магазин Поп Ин Шоп ИП Кочетова А И";"НКС";"-";"не назначено";"Калиничев Богдан Викторович +79253628524";"-";"55.816642";"37.498617"
"24.05.2024";"310301";"Одинцово ул Комсомольская 20";"Одинцово";"Библиотека № 4 МБУК ""ОГБИЦ";"проверить работоспособность КТС";"-";"не назначено";"Смирнова Оксана Владимировна +7(916)-451-35-31";"-";"55.6659842";"37.293325"
"27.05.2024";"1306";"Островитянова 5 кор 3";"Тропарево";"Гранд Клини ООО Гранд Клиник Юго запад";"НКС";"-";"не назначено";"-";"-";"55.6455476";"37.4956929"
"27.05.2024";"130354";"Сеславинская 16 кор. 1";"Багратионовская";"Салон красоты Мэрисон";"тревога тампера 17 зоны";"-";"не назначено";"-";"-";"55.7439322";"37.4957794"
"27.05.2024";"131893";"Перекопская 34 к 3 ";"Зюзино";"ООО Ломбард Аурум";"заменить АКБ";"-";"не назначено";"-";"-";"55.6633007";"37.5669566"
"27.05.2024";"131960";"Туристская д.15";"Планерная";"Магазин  КиБ ООО Альфа М";"проблемы со снятием";"Новгородцев 24.05.24";"не назначено";"-";"-";"55.8508132";"37.4215257"
"27.05.2024";"133194";"г.Электросталь ул. Карла Маркса 19 А ";"Электросталь";"Все инстурменты";"заменить АБ";"-";"не назначено";"-";"-";"55.7969019";"38.4645595"
"27.05.2024";"133529";"г.Фрязино, Полевая д.1 кв.53";"Фрязино";"Аптека Планета Здоровья";"заменить АКБ";"-";"не назначено";"-";"-";"55.9513376";"38.0535749"
"27.05.2024";"133643";"Мариупольская ул, дом 4";"Люблинская";"УЧЕБНО-МЕТОДИЧЕСКИЙ ЦЕНТР ПО ГРАЖДАНСКОЙ ОБОРОНЕ И ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ ГОРОДА МОСКВЫ";"заменить АКБ";"-";"не назначено";"-";"-";"55.674436";"37.7417235"
"27.05.2024";"134040";"Красногорский район  п Отрадное ул Кленовая 2 ";"Пятницкое шоссе ";"Семейный клуб Кто то город ИП Самарина Э А";"проверить заменить АКБ";"-";"не назначено";"-";"-";"55.868723";"37.32385"
"28.05.2024";"2378";"г. Одинцово, Можайское шоссе, 112А";"Одинцово";"Додо Пицца, О";"потери 7 зоны";" ";"не назначено";"-";"-";"55.685088";"37.3028091"
"28.05.2024";"90167";"Зубовский б-р д.4";"Парк Культуры";"Рекламный щит билборд ООО Расвэро";"треовги по 1,2 зонам";"-";"не назначено";"89160263006";"-";"55.7375376";"37.5902078"
"28.05.2024";"130396";"г.Королев, пр-тКоролева д.11";"Королев";"Пекаарня Хлебница Москва Центр ИП Голубова А.Е..";"тревоги по 4 зоне";" ";"не назначено";"-";"-";"55.9223977";"37.8526244"
"28.05.2024";"130724";"Нахимовский пр 1/1";"Нахимовский";"ООО ""Мильстрим Ритейл""";"заменить АКБ";"-";"не назначено";"-";"-";"55.6624921";"37.6179512"
"28.05.2024";"132939";"Мо Лыткарино, Парковая 2 ТЦ Весна";"Лыткарино";"Магазини Ксимоми ООО Эльбрус";"заменить АКБ";"-";"не назначено";"-";"-";"55.5819842";"37.9123151"
"29.05.2024";"131633";"Пятницкое шоссе 15 корпус 3";"Волоколамское";"ООО Продуктовый Рай";"заменить АБ 18 зоны";" ";"не назначено";"-";"-";"55.8414335";"37.3801364"
"29.05.2024";"131964";"Научный проезд 14 А стр.1";"Калужская";"КиБ";"постоянные потери связи";"-";"не назначено";"9267175906";"-";"55.6557961";"37.5553877"
"29.05.2024";"310162";"г.Звенигород ул. Лермонтова территория ВЗУ";"Звенигород";"Водоканал ВЗУ-4";"заменить КБ";"-";"не назначено";"-";"-";"55.7406649";"36.8498138"
"30.05.2024";"1507";"СНТ Орбита, 11";"Сергиев Пасад";" Гальцов М Д ЧОП Синяя Птица";"проблемы с постановкой и снятием";"-";"не назначено";"Гальцов Михаил Дмитриевич +79651501215";"-";"55.509674";"37.295179"
"30.05.2024";"81236";"деревня Суханово, 148";"-";"Коттедж УК Суханово Парк"" Битаровой Кристины Алановны";"проверить 12 зону";"-";"не назначено";": Битарова Кристина Алановна 79257705555";"-";"55.518775";"37.654008"
"30.05.2024";"90078";"г Лобня ул Маяковского 1 Б";"Лобня";"ООО Ломбард Карат СВС";"заменить АКБ";"-";"не назначено";"-";"-";"56.0085388";"37.4858547"
"30.05.2024";"91346";"г Ивантеевка ул Толмачева 1/2";"Ивантеевка";"Магазин Галилео ООО Галилео Вест";"заменить АКБ";"-";"не назначено";"-";"-";"55.9677332";"37.9134355"
"30.05.2024";"133236";"г. Котельники, пр-д Угрешский 2 А";"Котельники";"ПВЗ  Все Инструменты";"заменить АКБ";"-";"не назначено";"-";"-";"55.640431";"37.845592"
"30.05.2024";"133934";"пос. Битца, Парковая д.3";"-";"Магазин Фасоль ИП Джан Али Е.С.";"заменить АКБ";"-";"не назначено";"-";"-";"55.5720696";"37.6186579"
"30.05.2024";"136337";"Лебедянская 18";"Царицыно";"Спортивный комплекс Южный ГБУ ДО МКСШОР Юг";"проверить работоспособность КТС";"-";"не назначено";"Invalid Date";"-";"55.5854962";"37.6741231"
"30.05.2024";"136988";"Дмитрия Ульянова 10/1 к 1";"Академическая";"Магазин обуви ИП Смирнова Л В";"горит не корректно индикатор на приборе";"-";"не назначено";"Смирнова Любовь Валерьевна +79055076406";"-";"55.689618";"37.56644"
"30.05.2024";"194144";"Кастанаевская 52 стр 2";"пионерская";"ОКЦ ЗАО";"НКС";"-";"не назначено";"-";"-";"55.7343108";"37.4695287"
"31.05.2024";"93332";"г Балашиха мкр Салтыковка ул Окольная 42";"-";"Коттедж Сенацкий К П";"долбит тампер 26 зоны";"-";"не назначено";" Сенатский Константин +79058152626";"-";"55.7508071";"37.8976798"
"31.05.2024";"131565";"Перерва ул, д. 52";"Братиславская";"ООО «Хайскрин Смарт»";"заменить АБ 25 зоны/проверить ПС";"-";"не назначено";" 79031297899 Кирилл Леонидович ";"-";"55.656135";"37.744394"
"31.05.2024";"136740";"Садовая Спасская д.24";"Красные Ворота";"Караоке клуб ШУМ ООО Шум МСК";"тревоги по 8, 9 зонам";"-";"не назначено";"9622460729";"-";"55.7691757";"37.6462208"
"03.06.2024";"22084";" Судостроительная 18 ";"Коломенская";"Офис МЦК Москва";" ОС самопроизвольно,";"-";"не назначено";" 903 584-28-39 Александр";"-";"55.6800993";"37.6757205"
"03.06.2024";"32088";" Домодедовский район п/о санаторий";"Домомдедово";" Подмосковье Русская Многоуровневая Школа";"заменить АКБ";"-";"не назначено";"-";"-";"55.372841";"37.758716"
"03.06.2024";"81207";"МО Ленинский район д Лопатино 29";"-";"Коттедж Зудин В.Б";"потери 6,7 зон";"-";"не назначено";" Зудин Владимир Борисович 8-915-119-96-74";"-";"55.527402";"37.64321"
"03.06.2024";"90350";"Ленинский район д Дыдылдино СНТ Колхозник 1 81";"Видное";"Дом трудолюбия Ной ИП Сосинский Э В";"заменить АКБ";"-";"не назначено";"Савченко Юрий Александрович +79295253566";"-";"55.540171";"37.7415617"
"03.06.2024";"90590";"Люберцы пр Волковский 4";"Люберцы";"Кафе бар ООО Партнер";"не проходит КТС";"-";"не назначено";" Андреев Денис Александрович +79262746394 / 89303395227";"-";"55.6776057";"37.9008937"
"03.06.2024";"93065";" 9 Парковая 27";"-";"Аптека планета Здоровья ООО Парацельс";"НКС";"-";"не назначено";"Епанчинцева Наталья Николаевна +79162223016";"-";"55.796105";"37.798957"
"03.06.2024";"131365";"г.Химки, Вашутинская ш.4";"Химки";"офис ОО Империя";"заменить АКБ";"-";"не назначено";"-";"-";"55.920435";"37.406809"
"03.06.2024";"133159";"п.Сосенское Малое понизовье, 10 6 подъезд кв 296";"-";"Квартира";"заменить АБ 18 зоны";"-";"не назначено";"-";"-";"55.601305";"37.411346"
"03.06.2024";"133461";"г.Ногинск, Соборная д.12 ТЦ Острова";"Ногинск";"Магазин Синсэ ООО РЕ Трэйдинг";"проверить КТС";"-";"не назначено";"-";"-";"55.8532848";"38.4419756"
"03.06.2024";"133536";"г. Котельники мкр. Силикат., дом 6А";"Котельники";"ООО ""Лето"" /Аптека Планета Здоровья";"заменить АКБ";"-";"не назначено";"-";"-";"55.649332";"37.859013"
"03.06.2024";"136064";"МО г Мытищи ул Сукромка 5";"-";"Медицинская лаборатория диагностический центр медцентр клиника ДНКОМ ООО Левия";"тревога тампера 18 зоны";"-";"не назначено";"Левченко Владимир Александрович +79163101010";"-";"55.9026072";"37.7159755"
"03.06.2024";"136828";"г Лобня Букинское шоссе 31";"Лобня";"Гостиница Июль ООО Июль";"проверить работоспособность КТС";"-";"не назначено";"Хамидов Бежан Саидович +79255879445";"-";"56.0179853";"37.4711137"
"03.06.2024";"136939";"Рябиновая 28 А стр 2";"Одинцово";"Офис и склад ООО ПЭК";"тревоги тамперов/проверить АКБ";"-";"не назначено";"-";"-";"55.692277";"37.417212"
"03.06.2024";"137217";"г Дмитров ул Березовая 49";"Дмитров";"Магазин Склад ДОБРОЦЕН ООО ПВ Центр";"НКС";"-";"не назначено";"Смазнова Екатерина Владимировна +79779749704";"-";"56.3305387";"37.5274785"
"03.06.2024";"137553";"Дмитровское ш 98";"Яхромская";"Пекарня ИП Кромова В.Н.";"НКС";"-";"назначено";"-";"-";"55.879394";"37.547252"
"03.06.2024";"137581";"г.Зеленограл к.2013 пом 7 ком 15";"Зеленоград";"Манана Клиник ООО Манана Клиник";"тревоги тампера 17 зоны";"-";"не назначено";"-";"-";"55.972224";"37.162735"
"03.06.2024";"192566";"МО Ленинский район Видное Заводская 15";"Видное";"ГБУЗ Видновская районная клиническая больница Взрослая поликлиника ПОСТ ОХРАНЫ";"проверить КТС";"-";"не назначено";"79772647736/1 к";"-";"55.5539026";"37.7286929"
"03.06.2024";"310254";"дер. Крекшино, ул. Школьная, д.30";"Одинцово";"Коттедж Седых В.В.";"заменить АБ  20 зоны";"-";"не назначено";"-";"-";"55.5917776";"37.1009544"
"04.06.2024";"1589";"Петровка д.19 стр.1";"Тверская";"Розничный магазин ЛН фэмили ИП Крылов Г.В.";"проверить работоспособность";"-";"не назначено";"-";"-";"55.764833";"37.6159755"
"04.06.2024";"22023";"Москва, улица Обручева, 23к3";"Калужская";"офис АТБ";"проблемы со снятием/првоерить ПС";"-";"не назначено";"74959883061";"-";"55.6577449";"37.5294626"
"04.06.2024";"137119";"г.Орехово-Зуево, Ворошилова 1 А";"Орехово Зуево";"ПВЗ Вайлдберис ИП Вуколова Д.Ю.";"заменить АБ 18 зоны";"-";"не назначено";"Грушевский Максим Дмитриевич, +79099999817";"-";"55.7992747";"38.9594018"
"05.06.2024";"1534";"Балашиха, улица Некрасова, 13А";"Балашиха";"Медцентр ООО ДентаМед";"проверить работоспособность КТС";"-";"не назначено";"-";"-";"55.7920478";"37.9721291"
"05.06.2024";"90605";"Верхняя Радищевская, д. 9 стр. 4";"Таганка";"СОДЕЙСТВИЕ+ ООО ";"доустановить БП";" ";"не назначено";"-";"-";"55.7443585";"37.6506351"
"05.06.2024";"91043";"Белореченская 36 корп 3";"Братиславская";"Магазин Перотехники";"долбит тервога по 1 зоне";"-";"не назначено";"Каменец Андрей Павлович +79262588211";"-";"55.6609467";"37.7760562"
"05.06.2024";"91596";"Троицк ул Центральная 12 Б";"Троицк";"Магазин ООО Леокс";"заменить АБ 19, 20 зон";"-";"не назначено";"Копылов Александр Викторович +79653121527";"-";"55.4717426";"37.2993216"
"05.06.2024";"310121";"пос.""Крекшино"" ул.Клубничная, д.218";"Апрелевка";"Коттедж";"тревоги по 3,4 зоны";"-";"не назначено";"-";"-";"55.5980464";"37.0978213"
"06.06.2024";"90469";"городской округ Чехов, село Новоселки, территория промышленная зона «Новоселки», строение 11/2 ";"Чехов";"склад «Деловые линии»";"потери 94,95 зон";" ";"не назначено";"-";"-";"55.126097";"37.55267"
"06.06.2024";"133200";"г Балашиха Шоссе Энтузиастов 80";"Балашиха ";"Пункт выдачи Все Инструменты ООО ВсеИнструменты ру";"тревоги по 19 зоне";" ";"не назначено";"-";"-";"55.7981";"37.986475"
"06.06.2024";"134835";"ш.Энтузиастов 53";"Новогиреево";"ПВ СДЭК";"тревоги по 1 зоне";"-";"не назначено";"-";"-";"55.7736971";"37.82594"
"06.06.2024";"134907";"пр-т Мира д.79";"-";"офисное помещение  ИП Козлов А.В.";"не проходит КТС";"-";"не назначено";"-";"-";"55.790975";"37.634182"
"07.06.2024";"22105";"пос. Московский,ул. Саларьевская, 9,";"Московский";"ИП Хаустова Ольга Александровна, языковой центр";"тревоги";" ";"не назначено";"-";"-";"55.617281";"37.417446"
"07.06.2024";"90862";" п. Внуковское, ул. Самуила Маршака, 23к1 ";"-";"Кофейня ""Coffe Gang"")";"востановит мониторинг   ПС";"-";"не назначено";"Сергеевич Чиграй Телефон:  8 918 883 83 48";"-";"55.63407";"37.320023"
"07.06.2024";"130830";"Щербинка, ул. Пушкинская, д. 2";"Щербинка";"Ломбард ООО Ломбард Рубин";"заменить АКБ";"-";"не назначено";"-";"-";"55.5104667";"37.5640608"
"07.06.2024";"132274";"г.Подольск, мкр. Климовск, ул. Победы д.2/18";"Подольск";"Аптека Планета Здоровья ООО Азон";"заменить АКБ";"-";"не назначено";"-";"-";"55.359324";"37.5206949"
"07.06.2024";"132579";"Александры Монаховой 88/3";"Комунарка";"Аптека Планета Здоровья ООО Альфа";"заменить АКБ";"-";"не назначено";"-";"-";"55.543954";"37.48428"
"07.06.2024";"133007";"Люберцы, летчика Ларюшина 20";"Люберцы";"Апетак Планета Здоровья ООО Планета Здоровья";"заменить АКБ";"-";"не назначено";"-";"-";"55.676504";"37.860647"
"07.06.2024";"133014";"обл, Одинцовский р-н, Одинцово г, ул. Липовой рощи, д.2, к.3, пом. 4";"Одинцово";"ООО «Восход»/Пекарня Буханка";"сработки ПС";"-";"не назначено";"-";"-";"55.798196";"37.376357"
"07.06.2024";"133123";"Балашиха мкр. Спасский б*р Спасский 1";"Балашиха";"Апетак Планета Здоровья ООО Планета Здоровья";"заменить АКБ";"-";"не назначено";"-";"-";"55.5528518";"37.6447852"
"07.06.2024";"133135";"г. Коломна, Щуровская 13 А";"Коломна";"Магазин Мильстрим ООО Мильстрим";"заменить АКБ";"-";"не назначено";"-";"-";"55.0605";"38.85319"
"07.06.2024";"133590";"Люберцы, мкр. Городок А ул. 3 Почтовое Отделение 6";"Люберцы";"ПВЗ  Вайлдберис";"заменить АКБ";"-";"не назначено";"-";"-";"55.6788135";"37.8803356"
"07.06.2024";"134996";"г.Щелково, Институская вл.5";"Щелково";"Павильон Табак ИП Крылов Р.П.";"заменить АКБ";"-";"не назначено";"-";"-";"55.903509";"38.053291"
"07.06.2024";"135162";"поселение Десеновское, ул. 1-я Нововатутинская, д. 5.";"-";"Магазин Пиво тут ИА Наливайко В.В.";"заменить АКБ";"-";"не назначено";"-";"-";"55.5203927";"37.3550699"
"07.06.2024";"136691";" г Реутов  ул Новая 10";"Реутов";"Груминг Салон";"востановил ШС 20 зоны";"-";"не назначено";"Твердохлебова Людмила Михайловна +79162454846";"-";"55.7575041";"37.8552645"
"07.06.2024";"137398";"Первомайская аллея 2 ";"Партизанская";"Департамента спорта города Москвы ГБУ ДО г Москвы СШОР";"отказы связи/не проходит КТС";"-";"не назначено";"Володин Альберт Григорьевич +79163634794";"-";"55.7824657";"37.757649"
"10.06.2024";"40334";"МКАД 41-й километр, д. 4, стр. 32, ТОГК Славянский мир, ";"МКАД";"Строительный магазин «Мастер Строй»";"отказы связи";" ";"не назначено";"-";"-";"55.6110458";"37.4889633"
